Date,Time,SiteID,Temp_Inst,DO_Inst,pH_Inst,Depth
2023-08-29,10:36:08,LOUA026A,30.551,3.51,6.46,1.037
2023-08-29,10:36:32,LOUA026A,30.335,3.3,6.44,2.005
2023-08-29,10:36:40,LOUA026A,29.414,1.44,6.23,2.422
2023-08-29,10:36:44,LOUA026A,28.492,0.94,6.38,2.687
2023-08-28,12:08:24,LRED001A,32.141,6.05,6.98,0.451
2023-08-28,12:08:33,LRED001A,32.145,6.08,6.98,1.041
2023-08-28,12:08:44,LRED001A,32.131,6.03,6.98,2.067
2023-08-28,12:08:57,LRED001A,32.12,5.94,6.98,3.037
2023-08-28,12:09:34,LRED001A,32.007,5.46,6.88,4.09
2023-08-28,12:09:44,LRED001A,31.212,2.83,6.68,4.928
2023-08-28,12:09:49,LRED001A,30.074,1.46,6.54,5.384
2023-08-28,12:09:57,LRED001A,29.01,0.79,6.59,5.687
2023-08-28,12:10:09,LRED001A,27.989,0.49,6.75,5.859
2023-08-28,13:49:58,LRED001B,31.761,7.03,7.74,0.477
2023-08-28,13:50:09,LRED001B,31.75,7,7.68,1.107
2023-08-28,13:50:19,LRED001B,31.63,6.79,7.66,2.094
2023-08-28,13:50:38,LRED001B,31.458,6.27,7.57,3.053
2023-08-28,13:50:49,LRED001B,31.329,5.72,7.48,3.603
2023-08-28,15:23:52,LRED002A,32.323,6.97,7.24,0.425
2023-08-28,15:24:07,LRED002A,32.31,6.97,7.25,1.054
2023-08-28,15:24:20,LRED002A,32.243,6.93,7.25,2.024
2023-08-28,15:24:32,LRED002A,32.086,6.77,7.23,3.018
2023-08-28,15:24:50,LRED002A,31.591,6.2,7.15,4.056
2023-08-28,15:25:06,LRED002A,31.336,5.86,7.04,5.115
2023-08-28,15:25:16,LRED002A,30.097,3.49,6.7,5.508
2023-08-28,15:25:18,LRED002A,29.217,2.62,6.7,5.655
2023-08-28,15:25:23,LRED002A,28.13,1.59,6.82,6.008
2023-08-28,10:43:21,LRED004A,31.274,3.94,6.41,0.466
2023-08-28,10:43:46,LRED004A,31.271,3.87,6.38,1.015
2023-08-28,10:44:14,LRED004A,31.265,3.7,6.39,1.504
2023-09-18,13:11:16,LWHI005A,26.742,9.94,8.84,0.749
2023-09-18,13:11:20,LWHI005A,26.626,9.41,8.69,1.507
2023-09-18,13:11:29,LWHI005A,25.683,8.99,8.32,2.329
2023-09-18,13:11:39,LWHI005A,24.992,8.77,8.05,3.398
2023-09-18,13:12:41,LWHI005A,24.456,3.76,7.48,4.415
2023-09-19,13:51:52,LWHI023,25.48,8.15,8.76,1.293
2023-09-19,13:52:32,LWHI023,25.479,8.15,8.76,2.215
2023-09-19,13:52:56,LWHI023,24.706,7.1,8.6,3.652
2023-09-19,13:53:49,LWHI023,24.458,6.09,8.52,4.215
2023-09-19,12:29:59,LWHI027,24.629,7.78,8.4,1.22
2023-09-19,12:30:30,LWHI027,24.631,7.78,8.41,2.373
2023-09-19,12:30:32,LWHI027,24.628,7.77,8.4,3.54
2023-09-19,12:30:42,LWHI027,24.526,7.7,8.38,4.444
2023-09-19,12:30:43,LWHI027,24.511,7.68,8.38,5.404
2023-09-19,12:30:47,LWHI027,23.155,6.09,8.05,6.192
2023-09-19,12:30:48,LWHI027,22.243,5.86,8.03,6.368
2023-09-19,12:30:49,LWHI027,21.391,5.25,7.99,6.516
2023-09-19,12:30:50,LWHI027,20.606,4.87,7.86,6.63
2023-09-19,12:30:52,LWHI027,19.811,4.37,7.81,6.844
2023-09-19,12:30:53,LWHI027,18.265,4.31,7.82,6.928
2023-09-19,12:30:57,LWHI027,17.298,3.45,7.78,7.126
2023-09-19,12:31:00,LWHI027,16.987,2.67,7.76,7.217
2023-09-19,12:31:01,LWHI027,15.542,2.46,7.76,7.25
2023-09-19,12:31:04,LWHI027,14.597,2.46,7.74,7.971
2023-09-19,12:31:12,LWHI027,13.854,1.64,7.6,8.098
2023-09-19,12:31:13,LWHI027,12.644,1.6,7.59,8.178
2023-09-19,12:31:15,LWHI027,12.243,1.58,7.59,9.115
2023-09-19,12:31:28,LWHI027,11.572,1.13,7.5,10.498
2023-09-19,12:31:30,LWHI027,11.422,1.06,7.49,11.225
2023-09-19,12:31:41,LWHI027,10.644,0.76,7.47,12.259
2023-09-19,12:35:41,LWHI027,24.612,7.62,8.45,0.682
2023-09-19,12:36:29,LWHI027,24.643,7.69,8.44,1.611
2023-09-19,12:36:50,LWHI027,24.562,7.7,8.42,2.61
2023-09-19,12:36:55,LWHI027,24.553,7.7,8.42,3.759
2023-09-19,12:37:00,LWHI027,24.509,7.64,8.39,4.63
2023-09-19,12:37:09,LWHI027,24.374,6.69,8.18,5.393
2023-09-19,12:37:10,LWHI027,24.346,6.41,8.16,6.238
2023-09-19,12:37:12,LWHI027,23.111,5.26,8.13,6.625
2023-09-19,12:37:13,LWHI027,22.456,5.05,8.02,6.72
2023-09-19,12:37:14,LWHI027,21.912,4.62,7.99,6.775
2023-09-19,12:37:16,LWHI027,20.931,4.05,7.93,6.972
2023-09-19,12:37:18,LWHI027,20.331,3.74,7.9,7.123
2023-09-19,12:37:19,LWHI027,18.584,3.37,7.89,7.194
2023-09-19,12:37:20,LWHI027,17.875,3.22,7.87,7.247
